ID	市县（英文）	市县（中文）	地区	省/直辖市
101010100	beijing	北京	北京	北京
101010200	haidian	海淀	北京	北京
101010300	chaoyang	朝阳	北京	北京
101010400	shunyi	顺义	北京	北京
101010500	huairou	怀柔	北京	北京
101010600	tongzhou	通州	北京	北京
101010700	changping	昌平	北京	北京
101010800	yanqing	延庆	北京	北京
101010900	fengtai	丰台	北京	北京
101011000	shijingshan	石景山	北京	北京
101011100	daxing	大兴	北京	北京
101011200	fangshan	房山	北京	北京
101011300	miyun	密云	北京	北京
101011400	mentougou	门头沟	北京	北京
101011500	pinggu	平谷	北京	北京
101020100	shanghai	上海	上海	上海
101020200	minhang	闵行	上海	上海
101020300	baoshan	宝山	上海	上海
101020500	jiading	嘉定	上海	上海
101020600	nanhui	浦东南汇	上海	上海
101020700	jinshan	金山	上海	上海
101020800	qingpu	青浦	上海	上海
101020900	songjiang	松江	上海	上海
101021000	fengxian	奉贤	上海	上海
101021100	chongming	崇明	上海	上海
101021200	xujiahui	徐家汇	上海	上海
101021300	pudong	浦东	上海	上海
101030100	tianjin	天津	天津	天津
101030200	wuqing	武清	天津	天津
101030300	baodi	宝坻	天津	天津
101030400	dongli	东丽	天津	天津
101030500	xiqing	西青	天津	天津
101030600	beichen	北辰	天津	天津
101030700	ninghe	宁河	天津	天津
101030800	hangu	汉沽	天津	天津
101030900	jinghai	静海	天津	天津
101031000	jinnan	津南	天津	天津
101031100	tanggu	塘沽	天津	天津
101031200	dagang	大港	天津	天津
101031400	jixian	蓟县	天津	天津
101040100	chongqing	重庆	重庆	重庆
101040200	yongchuan	永川	重庆	重庆
101040300	hechuan	合川	重庆	重庆
101040400	nanchuan	南川	重庆	重庆
101040500	jiangjin	江津	重庆	重庆
101040600	wansheng	万盛	重庆	重庆
101040700	yubei	渝北	重庆	重庆
101040800	beibei	北碚	重庆	重庆
101040900	banan	巴南	重庆	重庆
101041000	changshou	长寿	重庆	重庆
101041100	qianjiang	黔江	重庆	重庆
101041300	wanzhou	万州	重庆	重庆
101041400	fuling	涪陵	重庆	重庆
101041500	kaixian	开县	重庆	重庆
101041600	chengkou	城口	重庆	重庆
101041700	yunyang	云阳	重庆	重庆
101041800	wuxi	巫溪	重庆	重庆
101041900	fengjie	奉节	重庆	重庆
101042000	wushan	巫山	重庆	重庆
101042100	tongnan	潼南	重庆	重庆
101042200	dianjiang	垫江	重庆	重庆
101042300	liangping	梁平	重庆	重庆
101042400	zhongxian	忠县	重庆	重庆
101042500	shizhu	石柱	重庆	重庆
